name,MW,time
!1LH_4B74_A,409.925,17940
!1LI_3IVH_A,473.618,24625
!1LR_4JPF_A,256.233,6377
!1LZ_4JMT_A,156.225,10543
!1M1_4JV8_B,298.341,16022
!1M2_4JMZ_A,147.177,5081
!1M3_4JI9_A,510.675,19447
!1M5_4JP9_A,370.853,24477
!1M6_4JPC_A,361.417,25335
!1M7_4JPE_A,336.411,24631
!1M8_4KIN_A,410.916,14256
!1M9_4JJS_A,462.481,19757
!1MB_4JJU_A,441.394,22074
!1MJ_4JN0_A,146.146,5195
!1ML_4JMU_A,543.63,23134
!1MN_4JV7_A,515.237,21199
!1MV_4LPG_F,411.266,16178
!1N3_3ULI_A,482.438,33983
!1N4_4JWY_A,203.239,2332
!1N5_3CXO_B,177.175,317
!1N6_4JX7_A,427.487,42712
!1NJ_4JZD_H,533.576,21501
!1NK_4JZE_H,557.597,28705
!1NL_4JZF_H,533.552,19689
!1NQ_4JSR_A,486.61,19269
!1NR_4JT8_A,389.515,16722
!1NS_4JT9_A,383.489,14849
!1NT_2NXG_B,411.127,1279
!1O1_4JU3_A,425.411,10522
!1O8_4K4J_A,293.38,7123
!1O9_4JY0_A,492.633,23896
!1OK_4JYU_H,535.635,19754
!1OO_4XV9_A,523.904,26819
!1OQ_4K2G_B,280.22,7386
!1OT_4K3N_A,251.178,10071
!1P6_3IOK_A,357.428,19179
!1P9_4K69_A,471.324,16926
!1PF_4JS8_A,428.631,34506
!1PL_2RDN_A,233.326,23386
!1PS_1R4P_B,201.243,3743
!1Q8_4K9C_A,151.163,2157
!1QK_4KD1_A,396.486,17729
!1QP_4KFB_A,190.199,6050
!1QR_4KFN_A,398.479,15345
!1QS_4KFO_A,427.424,13376
!1QT_4K8S_A,505.711,36026
!1QV_4KAP_A,285.219,6946
!1R6_4KE1_A,560.747,47506
!1R8_4KE0_A,491.685,33788
!1RC_3K98_A,360.792,12744
!1RH_4KJU_A,552.643,33257
!1RK_4KJV_A,547.599,32608
!1RQ_4KKH_A,504.582,38058
!1RY_4K4I_A,483.155,16884
!1S0_4K4G_A,467.157,25033
!1S5_4OXK_A,318.454,12680
!1S8_4KNR_A,476.526,17125
!1S9_4KNX_A,443.431,15807
!1SA_2HNC_A,179.201,843
!1SB_3OVV_A,284.31,7018
!1SE_4KPX_A,378.338,9979
!1SF_4KPZ_A,235.196,7987
!1SV_4KVI_A,191.313,9036
!1T4_4KKY_X,259.302,9726
!1TM_4KTF_A,267.283,12515
!1U0_4KXY_A,480.347,12320
!1U1_4KZ3_A,240.665,839
!1U2_4FUH_A,305.354,11366
!1U4_3FV4_A,503.485,22396
!1UN_3EL0_A,568.79,49535
!1UP_4FU7_A,274.295,7572
!1UQ_4KP7_A,288.237,4512
!1UR_4L09_A,265.24,11969
!1UT_4L0B_A,265.307,11386
!1UZ_4L0S_A,247.248,11039
!1V0_4L0T_A,267.236,11921
!1V1_4L0V_A,256.684,10853
!1V4_4L2G_A,240.229,10737
!1V5_4L7F_A,459.515,31269
!1V6_4L2L_A,266.361,9822
!1V8_4L2K_A,266.248,12571
!1V9_4L70_A,335.4,13717
!1VA_4L7L_A,351.399,14136
!1VB_4L7N_A,400.452,14263
!1VD_4L7O_A,387.434,17699
!1VF_4L32_A,349.403,19944
!1VG_4L34_A,289.268,17745
!1VJ_4OYB_A,291.259,9064
!1VK_4OYI_A,189.171,4523
!1VM_4LAE_X,388.469,24935
!1VN_4LAG_X,430.977,25984
!1VO_4LAH_X,396.532,25165
!1VV_4L7B_B,445.487,30704
!1VX_4L7D_A,445.53,29829
!1W2_4L7J_A,355.341,21965
!1WB_4NI8_A,194.141,2378
!1WD_4YW9_A,153.159,1693
!1WP_4LC7_A,327.808,21334
!1WQ_4L6S_A,369.865,16022
!1X8_4LH7_A,236.25,6383
!1XA_4LR6_A,174.199,5757
!1XO_4LI6_A,403.497,15194
!1XP_4LI7_A,443.898,15356
!1Y6_5FP5_A,139.104,1740
!1YE_4QXO_A,281.283,10615
!1YF_4LY3_B,573.339,51354
