Entry,Method,RMSD,Bond error,Angle error,Torsion error,TFD,Stereo correct
064_3DCT_A,RDKit,1.63827241362863,0.065453384210316,2.53741455908032,39.0755909758364,0.308912665316778,T
065_2QD7_B,New,3.7816254938336,0.043303605302017,1.89796723642318,47.4178042173759,,T
065_2QD7_B,OB,2.87326434860029,0.064034781771791,2.77899988400187,54.5971284785508,,T
065_2QD7_B,RDKit,3.29519982749527,0.061970949571731,2.99154109301051,57.8166992842387,,T
068_2WO9_A,New,0.8918339467897,0.044215674673895,2.03569903236824,44.3265727568223,,T
068_2WO9_A,OB,1.09864939810486,0.045617800573037,2.00628641181536,55.6915151846587,,T
068_2WO9_A,RDKit,1.31835027494415,0.059167657077923,2.21404113097987,51.9479731217437,,T
06F_3UVR_A,New,2.90373465524158,0.115406187496171,4.32617502458441,48.4644800343337,0.163144679599376,T
06F_3UVR_A,OB,,,,,,F
06F_3UVR_A,RDKit,2.20193988827911,0.065020357863585,2.47387807323562,41.1131831103505,0.201479298812585,T
06J_3R92_A,New,,,,,,F
06J_3R92_A,OB,,,,,,F
06J_3R92_A,RDKit,0.834498717245558,0.070585654752341,3.25109126955395,62.7532711036103,,T
06P_3QTV_H,New,2.29807274223017,0.040924015864172,1.47665897438599,35.7591631536797,,T
06P_3QTV_H,OB,1.79307162006698,0.044751829031855,1.22412380648033,52.1243055206979,,T
06P_3QTV_H,RDKit,2.30250088254514,0.074018836407439,4.59437790338722,48.9794496552493,,T
06T_3RKZ_A,New,2.03505716184746,0.132244498227057,3.21204000518644,63.7192220824236,,T
06T_3RKZ_A,OB,,,,,,F
06T_3RKZ_A,RDKit,0.56008657924662,0.067269197210245,3.36187519914446,42.887779114988,,T
06Z_3RJC_A,New,1.90933778495521,0.048336659627927,1.85019214695549,26.2116722985739,0.220658264678547,T
06Z_3RJC_A,OB,1.40077203350336,0.089347937030762,3.14793641201516,33.6604665971317,0.35467496251417,T
06Z_3RJC_A,RDKit,0.3472872426211,0.067128322902601,3.11406298167868,13.6516017212033,0.027804604177468,T
076_3TOF_A,New,3.47344358028123,0.047183123125699,3.02446179447226,45.2762702628415,,T
076_3TOF_A,OB,5.53891454138846,0.047259308590537,2.41035857833021,55.9335971680071,,T
076_3TOF_A,RDKit,3.28327398997526,0.07044094667651,3.90903905466463,48.1500031749899,,T
077_2WO8_A,New,1.11064438562657,0.044788599991436,2.56603415796032,41.4017102623146,,T
077_2WO8_A,OB,0.56498579063811,0.044630024891003,1.75275514463631,49.9122444294442,,T
077_2WO8_A,RDKit,1.27929410012813,0.060039227748621,2.67234224075779,40.9289769219535,,T
079_3TOG_A,New,,,,,,F
079_3TOG_A,OB,3.27686001205357,0.040961052836395,1.34435241182602,62.7327310180491,,T
079_3TOG_A,RDKit,3.27026724690028,0.063288187657031,3.53257971131447,42.0539408255935,,T
07N_3TTZ_A,New,2.13631346896618,0.063915953630309,2.39306473393646,50.3963998645889,,T
07N_3TTZ_A,OB,,,,,,F
07N_3TTZ_A,RDKit,2.08838702032983,0.052693774015546,2.26604400278035,42.863913790334,,T
07U_3TXO_A,New,0.873548201460017,0.039907446795531,0.965320222800099,43.7090944998364,0.110281548003848,T
07U_3TXO_A,OB,0.838161613177104,0.039912539909013,0.965746821356288,45.1212277479415,0.09081140991035,T
07U_3TXO_A,RDKit,0.736040763827307,0.053454082626782,2.43031813473635,41.0091976124747,0.045561096109614,T
