Name,MW,time
!10G_4H4E_A,274.125,500
!10N_4GU6_A,432.498,8019
!10P_3QTO_H,368.473,3760
!10U_2ZFT_A,373.492,4297
!115_1HWI_A,410.458,9176
!117_1HWK_A,557.632,8363
!11C_3PWS_A,160.148,382
!11D_3AKN_A,433.584,6703
!11G_4I6B_A,260.335,5181
!11H_4NCE_A,366.323,2774
!11N_2ZEC_A,349.446,10049
!11P_2RAH_A,305.118,3034
!11U_2ZQ1_A,387.519,4595
!11X_3FTV_A,184.237,1282
!11Y_4IBE_A,517.756,5483
!122_1GI4_A,252.271,1388
!12E_3MRT_A,342.371,3473
!12I_4A7G_A,229.301,441
!12M_2F62_A,136.191,915
!12Z_3RKB_A,302.395,3226
!130_1GJ5_H,329.375,1614
!132_1GJ6_A,361.824,1622
!133_1GJ8_B,343.375,7521
!135_1GJA_B,255.272,2548
!136_1GJD_B,430.648,4465
!13A_2B1G_A,320.279,4933
!13M_3VI8_A,464.532,5364
!13N_2XX5_A,470.945,9982
!13P_1NEY_A,168.042,312
!13Y_4HDC_A,526.024,9771
!140_1JPZ_A,312.467,707
!145_1JYV_A,301.249,2751
!149_1JZ5_A,178.14,3779
!14D_4HEJ_A,460.469,8604
!14I_3MB7_A,294.215,14959
!14Z_4HBW_A,269.32,5596
!152_1NDF_A,161.199,349
!15H_4HF4_A,447.553,2941
!15I_3ZO2_A,273.357,8643
!15J_4HEU_A,415.488,4271
!15M_2F38_A,415.566,10130
!15T_4IVD_A,337.419,10709
!15V_4HGE_A,352.778,7438
!15W_4HL5_A,268.264,1175
!15Z_4HLF_A,270.237,461
!164_4MYS_A,238.193,3216
!16F_3MRV_A,357.382,3501
!16G_1NE7_A,299.172,4831
!16I_4BUV_A,347.39,1946
!16O_3MT7_A,420.279,3319
!16S_4HLM_A,254.237,453
!16T_4HLD_A,491.945,4335
!16W_4HNF_A,359.81,5713
!173_3SG0_A,149.123,1051
!174_1T5D_X,155.558,611
!17C_4IJ1_A,255.226,2891
!17D_3QS8_A,211.236,1798
!17L_3V9T_A,529.537,12555
!17S_3MRX_A,371.409,4027
!17T_3MT8_A,375.828,3312
!18F_4JV6_B,284.354,5567
!18G_4HOE_A,389.47,5375
!18H_4HOG_A,359.444,4473
!18K_3SW4_A,326.419,3727
!18O_3MT9_A,386.38,4446
!18P_3U6A_A,371.821,6623
!18S_3MS2_A,355.409,3372
!18U_4JXS_B,339.344,3518
!198_1Z95_A,430.373,4826
!19A_2OJG_A,280.324,2098
!19B_3E93_A,497.608,2108
!19H_4WMU_A,391.268,5093
!19L_4HV3_A,479.426,10292
!19M_4HUP_X,557.537,11646
!19N_4K5L_A,224.198,470
!19T_4MYQ_A,386.875,3117
!1A0_4HXW_A,427.934,9597
!1A7_4HXN_A,195.213,1803
!1A8_4HXM_A,423.53,5296
!1AL_4PXD_A,175.123,340
!1AM_4HYH_A,451.521,2511
!1AO_4HYI_A,405.496,6096
!1AX_4HX2_A,166.172,395
!1AZ_2WHI_A,424.281,5977
!1B0_2XDE_A,425.522,4551
!1B2_4HWR_A,374.414,3889
!1B3_4HWS_A,435.885,8656
!1B4_4I0R_A,370.402,8424
!1B5_4I0S_A,368.82,11284
!1B6_4I0T_A,338.407,9876
!1B7_4I0D_A,403.945,7939
!1B9_4I0G_A,440.762,7036
!1BE_4I1C_A,470.007,8396
!1BF_4I0F_A,427.927,7544
!1BG_4HY4_A,525.726,13688
!1BK_4HYU_A,445.535,8443
!1BL_4I0H_A,560.672,7772
!1BM_2HK5_A,432.541,8386
!1BN_3PB9_X,158.2,2108
!1BR_4I4F_A,410.532,10090
!1BS_4I10_A,457.955,12077
!1BU_3GCQ_A,506.602,11460
!1BW_4HZM_A,233.285,4026
!1BY_2I19_A,278.096,2061
!1C2_2F6T_A,384.427,5217
!1CA_3RY9_A,330.461,1999
!1CH_4I11_A,321.393,6790
!1CO_4I6W_A,163.215,342
!1CQ_4KTL_A,359.378,1189
!1CY_4KNE_A,251.715,5315
!1D6_4IBG_A,504.895,9838
!1D8_4IBI_A,544.84,10318
!1DC_4L6Z_A,322.361,3276
!1DE_4IBK_A,517.315,8503
!1DF_4NG3_A,211.128,1408
!1DJ_4I7N_A,132.159,824
!1DN_4LEK_X,420.468,12074
!1DR_3JPV_A,234.253,14733
!1DT_4I6Q_A,322.361,8065
!1EB_4LVD_A,206.198,3061
!1ED_4ICT_A,310.347,1713
!1EN_4IJV_A,379.815,6564
!1EO_4IJU_A,339.364,12382
!1EU_3FV5_A,323.349,3618
!1F1_3KFR_B,160.149,1033
!1F6_4INB_A,419.397,9318
!1FE_4IDK_A,207.209,1896
!1FX_4ISF_A,416.469,7789
!1FZ_4Q45_A,477.152,6921
!1G4_4IPS_A,313.371,5327
!1G7_4IPW_A,342.346,1664
!1GC_3PNC_A,501.176,9562
!1GE_4ISH_H,505.564,10324
!1GG_4ISI_H,472.003,9681
!1GH_3ZYU_A,415.445,10986
!1GJ_4IVW_A,384.351,7133
!1GK_3MPT_A,308.331,2737
!1GP_4JEJ_A,170.058,343
!1GR_4IV2_A,350.335,7241
!1GT_4IVY_A,348.319,8562
!1GU_4IW6_A,348.319,7537
!1GV_4IWC_A,296.383,545
!1H2_4J0R_A,295.332,1351
!1H5_4J0Z_A,389.331,6536
!1H6_4J0Y_A,371.341,6629
!1H8_4J0P_A,353.35,5501
!1HG_4J1K_A,439.339,8231
!1HJ_4J1H_A,421.348,7104
!1HM_4J1E_A,439.339,6763
!1HN_3NKT_A,186.164,5499
!1HQ_4J17_A,389.331,5766
!1HR_4J36_B,258.077,2781
!1HX_4ITJ_A,305.735,3660
!1IR_4P0N_A,351.425,7988
!1IU_4BXK_A,480.458,7325
!1J2_4IZY_A,469.6,7134
!1J3_4J52_A,553.652,9386
!1J5_4IVA_A,309.366,9312
!1JC_4IWD_A,541.644,13451
!1JD_4IXC_A,467.908,8494
!1JE_4J02_A,341.209,9240
!1JF_4J04_A,414.068,2533
!1JG_4J06_A,395.657,2349
!1JH_4J08_A,382.41,3234
!1JR_4J93_A,276.293,3387
!1JS_4J3D_A,422.454,6255
!1JT_4J3F_A,306.401,7776
!1K9_4JA8_A,481.511,6098
!1KG_4JCH_A,472.7,40152
!1KO_4JIK_A,371.844,6242
!1KS_4JKV_A,512.502,3570
!1KX_3VRI_A,287.34,7334
!1L6_4JIB_A,420.507,8939
!1LF_4JNC_A,408.421,4178
!1LH_4B74_A,409.925,5270
!1LI_3IVH_A,473.618,5814
!1LR_4JPF_A,256.233,2456
!1LZ_4JMT_A,148.162,4529
!1M1_4JV8_B,298.341,687
!1M2_4JMZ_A,147.177,847
!1M3_4JI9_A,510.675,4421
!1M5_4JP9_A,370.853,10595
!1M6_4JPC_A,361.417,10676
